,Date,Hour,Number_of_Incidents,Total_Volume,Average_Speed
2442,3/20/2018,2,1,1541,38.74166667
1334,12/29/2017,3,1,1549,37.69585253
2786,3/9/2018,4,3,1559,39.71171171
1358,12/3/2017,4,1,1571,39.65284974
416,1/3/2018,1,1,1572,34.97196262
348,1/27/2018,4,5,1573,36.78703704
1523,12/8/2017,5,12,1591,37.91542289
26,1/10/2018,2,1,1597,38.10222222
1796,2/19/2018,4,1,1600,39.74319066
1795,2/19/2018,3,1,1606,39.81102362
1594,2/10/2018,5,3,1607,37.03448276
3536,5/3/2018,4,1,1608,38.76838235
3031,4/19/2018,4,2,1611,39.30038023
2988,4/17/2018,2,3,1614,38.06181818
349,1/27/2018,5,3,1615,37.29302326
884,11/30/2017,2,2,1618,37.12206573
3149,4/23/2018,4,1,1619,39.04961832
2512,3/23/2018,4,1,1626,40.05791506
324,1/26/2018,3,2,1631,37.31279621
1098,12/16/2017,5,3,1653,38.7860262
3331,4/30/2018,4,1,1653,39.00746269
1025,12/13/2017,2,1,1659,37.38666667
1097,12/16/2017,4,3,1665,38.27906977
2602,3/27/2018,2,3,1665,38.86561265
1360,12/3/2017,6,2,1667,39
1593,2/10/2018,4,4,1669,37.74235808
1546,12/9/2017,4,5,1682,36.6637931
739,11/24/2017,1,1,1688,37.32673267
1143,12/18/2017,2,2,1693,37.59401709
1950,2/26/2018,2,1,1696,38.62962963
1992,2/28/2018,2,1,1697,39.43190661
2807,4/1/2018,5,2,1701,39.44814815
1190,12/2/2017,4,2,1707,38.21395349
73,1/12/2018,3,2,1715,34.10849057
1929,2/25/2018,5,1,1716,39.5473251
2579,3/26/2018,2,3,1716,38.67460317
372,1/28/2018,4,2,1725,37.81775701
934,12/1/2017,3,1,1727,37.9638009
3488,5/1/2018,2,1,1727,37.80442804
49,1/11/2018,2,6,1731,36.32751092
2760,3/8/2018,2,6,1731,38.34070796
1258,12/22/2017,3,1,1734,39.04522613
2676,3/30/2018,4,1,1734,37.03539823
2920,4/14/2018,5,3,1735,39.65843621
2421,3/2/2018,4,1,1736,39.38931298
1751,2/17/2018,4,6,1737,39.79230769
229,1/22/2018,1,2,1751,37.18974359
1121,12/17/2017,4,4,1753,37.31034483
787,11/26/2017,4,2,1754,38.68283582
161,1/2/2018,5,3,1766,37.95614035
1618,2/11/2018,5,3,1779,36.69955157
2964,4/16/2018,2,2,1782,37.78467153
1405,12/31/2017,6,1,1787,37.83982684
1520,12/8/2017,2,3,1789,37.39698492
2465,3/21/2018,2,1,1798,39.53731343
2919,4/14/2018,4,5,1800,38.49382716
440,1/30/2018,1,1,1802,37.32195122
807,11/27/2017,1,2,1803,38.58008658
1475,12/6/2017,5,2,1807,38.14
1682,2/14/2018,2,1,1810,38.15
1166,12/19/2017,2,2,1812,36.75965665
1908,2/24/2018,4,3,1815,39.22175732
2398,3/19/2018,2,4,1816,39.37037037
3560,5/4/2018,4,2,1816,38.80882353
3077,4/20/2018,4,3,1817,38.68727273
3239,4/27/2018,3,3,1820,36.49056604
5,1/1/2018,5,2,1821,37.26293103
463,1/31/2018,1,1,1836,37.01970443
2260,3/13/2018,4,2,1836,38.3
511,1/5/2018,2,3,1837,36.47115385
2488,3/22/2018,2,1,1859,38.64855072
1729,2/16/2018,3,2,1862,39.33204633
2511,3/23/2018,3,1,1865,39.59770115
3399,4/6/2018,4,1,1867,39.0942029
3289,4/29/2018,5,1,1869,39.0952381
1424,12/4/2017,1,1,1883,39.55778894
2785,3/9/2018,3,4,1891,38.69491525
1447,12/5/2017,1,1,1896,39.90452261
3147,4/23/2018,2,4,1899,38.35
1637,2/12/2018,1,2,1900,37.14090909
420,1/3/2018,5,4,1901,35.25837321
1499,12/7/2017,5,3,1903,37.65151515
2663,3/3/2018,4,2,1904,39.93004115
252,1/23/2018,1,2,1915,36.4120603
6,1/1/2018,6,3,1917,37.6969697
2057,2/5/2018,1,3,1919,36.82532751
392,1/29/2018,1,1,1920,36.76958525
3511,5/2/2018,2,1,1922,37.8705036
2895,4/13/2018,4,1,1928,38.40143369
1909,2/24/2018,5,1,1931,38.76271186
3353,4/4/2018,4,3,1934,38.60606061
1427,12/4/2017,5,4,1937,40.02941176
1818,2/2/2018,2,1,1942,37.09278351
1234,12/21/2017,2,3,1944,37.94029851
1884,2/23/2018,3,1,1953,37.43495935
1307,12/24/2017,6,3,1959,37.96595745
765,11/25/2017,6,1,1962,39.83152174
276,1/24/2018,1,3,1969,37.81773399
1658,2/13/2018,1,2,1969,37.004329
601,1/9/2018,1,4,1975,36.92272727
2143,2/9/2018,2,3,1976,37.26548673
490,1/4/2018,5,5,1988,36.11004785
303,1/25/2018,5,1,1991,38.64321608
2683,3/4/2018,5,1,1994,39.69465649
1123,12/17/2017,6,3,1997,37.91452991
1336,12/29/2017,5,3,1997,37.88695652
2637,3/29/2018,2,5,2000,37.58483755
3446,4/8/2018,4,2,2004,37.80694981
208,1/21/2018,4,1,2022,38.32921811
830,11/28/2017,1,2,2030,38.44396552
486,1/4/2018,1,3,2035,34.88516746
137,1/19/2018,2,2,2038,37.87793427
1305,12/24/2017,3,3,2044,36.61538462
2943,4/15/2018,5,5,2049,39.00363636
2806,4/1/2018,4,4,2051,38.53214286
1773,2/18/2018,5,2,2054,39.50632911
1260,12/22/2017,5,2,2063,37.19587629
280,1/24/2018,5,1,2076,38.59693878
3264,4/28/2018,4,6,2077,39.00746269
2038,2/4/2018,6,3,2081,37.87982833
1752,2/17/2018,5,1,2090,40.42641509
3559,5/4/2018,3,3,2096,37.79347826
3076,4/20/2018,3,2,2098,37.34642857
3126,4/22/2018,5,2,2102,39.1884058
256,1/23/2018,5,2,2120,37.2
3101,4/21/2018,4,1,2127,37.89454545
2715,3/6/2018,1,2,2129,39.40963855
1495,12/7/2017,1,3,2133,36.555
1566,2/1/2018,1,1,2135,37.65581395
3423,4/7/2018,4,1,2135,38.3180212
3424,4/7/2018,5,1,2136,38.36690647
2037,2/4/2018,4,7,2143,37.19702602
2558,3/25/2018,5,1,2143,38.94656489
577,1/8/2018,1,3,2146,38.35864979
789,11/26/2017,6,3,2147,38.66079295
560,1/7/2018,6,2,2148,39.44871795
75,1/12/2018,5,2,2150,35.65402844
979,12/11/2017,1,3,2154,37.27350427
1972,2/27/2018,1,1,2155,39.664
2534,3/24/2018,4,2,2156,38.75378788
3009,4/18/2018,4,2,2166,39.12426036
1471,12/6/2017,1,3,2170,36.98557692
1928,2/25/2018,4,1,2171,39.77108434
1072,12/15/2017,3,2,2172,37.80769231
3265,4/28/2018,5,1,2172,38.63537906
2826,4/10/2018,1,1,2178,39.41287879
1706,2/15/2018,2,5,2179,38.1780303
210,1/21/2018,6,1,2186,38.15075377
25,1/10/2018,1,2,2193,38.069869
2283,3/14/2018,4,1,2193,38.4765343
3102,4/21/2018,5,2,2207,38.43010753
513,1/5/2018,5,7,2209,36.19905213
2167,3/1/2018,2,3,2209,37.9922179
2119,2/8/2018,1,4,2216,36.62211982
300,1/25/2018,1,1,2239,36.61538462
1211,12/20/2017,1,4,2242,38.59090909
3215,4/26/2018,1,3,2243,36.69339623
116,1/18/2018,5,1,2252,38.63255814
2848,4/11/2018,2,1,2256,37.91420118
2238,3/12/2018,4,1,2259,39.06589147
3398,4/6/2018,3,2,2262,38.07581227
883,11/30/2017,1,1,2275,37.10900474
3535,5/3/2018,2,3,2279,37.96028881
1451,12/5/2017,5,3,2298,39.905
1794,2/19/2018,2,4,2303,40.13793103
2624,3/28/2018,2,1,2303,35.74485597
1142,12/18/2017,1,3,2324,37.48085106
958,12/10/2017,4,3,2328,36.78424658
2192,3/10/2018,5,3,2336,40.12406015
2557,3/25/2018,4,1,2340,38.79230769
81,1/16/2018,13,8,2345,34.14285714
2306,3/15/2018,4,1,2347,38.96028881
852,11/29/2017,1,1,2351,37.79661017
1282,12/23/2017,3,3,2352,37.5049505
2894,4/13/2018,3,2,2353,38.31899642
3170,4/24/2018,1,1,2367,38.84837545
7,1/1/2018,7,1,2369,37.60995851
2191,3/10/2018,4,7,2370,40.0651341
2759,3/8/2018,1,1,2372,39.4612069
91,1/17/2018,0,1,2374,36.23206751
1165,12/19/2017,1,2,2376,37.04201681
3125,4/22/2018,4,1,2378,37.89781022
232,1/22/2018,5,1,2383,38.59708738
933,12/1/2017,2,2,2397,37.63963964
1002,12/12/2017,1,2,2399,37.83111111
1841,2/20/2018,1,2,2401,39.46538462
537,1/6/2018,6,2,2402,36.07070707
742,11/24/2017,6,3,2403,39.9408867
604,1/9/2018,5,1,2406,38.29184549
936,12/1/2017,5,2,2409,38.90222222
396,1/29/2018,5,4,2413,38.37387387
28,1/10/2018,5,1,2430,38.67372881
3487,5/1/2018,1,1,2431,38.35357143
1237,12/21/2017,5,4,2437,38.77560976
960,12/10/2017,6,5,2442,37.9958159
323,1/26/2018,2,3,2444,37.27149321
2736,3/7/2018,1,1,2448,38.76208178
763,11/25/2017,3,2,2459,39.75
3510,5/2/2018,1,5,2466,37.85114504
786,11/26/2017,3,1,2493,39.1147541
1617,2/11/2018,4,4,2495,36.00436681
581,1/8/2018,5,4,2501,38.30962343
1214,12/20/2017,5,3,2505,38.60891089
983,12/11/2017,5,2,2506,38.20264317
1333,12/29/2017,2,2,2508,37.69915254
1930,2/25/2018,6,4,2509,40.10843373
139,1/19/2018,5,3,2510,37.74222222
1821,2/2/2018,5,6,2511,37.62254902
887,11/30/2017,5,1,2513,37.64545455
2987,4/17/2018,1,1,2513,38.14748201
1050,12/14/2017,5,1,2514,38.01709402
2015,2/3/2018,6,5,2518,36.74396135
3008,4/18/2018,1,2,2522,37.98876404
1949,2/26/2018,1,5,2527,39.22268908
510,1/5/2018,1,3,2530,35.87677725
1027,12/13/2017,5,1,2536,38.21645022
3052,4/2/2018,1,1,2536,38.57039711
52,1/11/2018,5,1,2539,37.87553648
1662,2/13/2018,5,2,2541,36.59051724
1074,12/15/2017,5,2,2544,38.51502146
466,1/31/2018,5,1,2557,36.98564593
856,11/29/2017,5,2,2561,38.58119658
1167,12/19/2017,5,4,2563,37.17021277
2784,3/9/2018,2,2,2565,39.50854701
48,1/11/2018,1,1,2568,37.13080169
2963,4/16/2018,1,2,2568,38.21146953
2355,3/17/2018,5,3,2586,38.53736655
2441,3/20/2018,1,1,2592,39.11788618
721,11/23/2017,7,2,2602,40.03517588
443,1/30/2018,5,2,2620,38.06018519
325,1/26/2018,5,3,2623,39.30733945
2378,3/18/2018,5,6,2652,38.42616034
832,11/28/2017,5,7,2665,38.66527197
2077,2/6/2018,5,1,2668,38.16317992
2146,2/9/2018,5,2,2675,38.58666667
3241,4/27/2018,5,1,2675,37.58373206
2578,3/26/2018,1,1,2692,38.546875
183,1/20/2018,3,7,2706,36.960199
1991,2/28/2018,1,2,2712,39.70188679
1406,12/31/2017,7,1,2720,36.77118644
1233,12/21/2017,1,4,2723,37.71921182
1817,2/2/2018,1,3,2729,36.67156863
2330,3/16/2018,4,2,2742,38.25441696
3195,4/25/2018,5,5,2748,37.79047619
2808,4/1/2018,6,2,2751,39.2688172
3466,4/9/2018,1,1,2751,38.15467626
2122,2/8/2018,5,5,2764,37.71794872
3352,4/4/2018,1,4,2775,38.40213523
1380,12/30/2017,3,2,2783,37.54506438
136,1/19/2018,1,1,2788,36.44748858
2099,2/7/2018,5,4,2789,37.44017094
1145,12/18/2017,5,2,2790,38.56118143
3146,4/23/2018,1,2,2802,37.91071429
1592,2/10/2018,3,1,2809,37.11981567
1883,2/23/2018,2,2,2811,37.42168675
3447,4/8/2018,6,1,2812,38.0627451
2142,2/9/2018,1,4,2815,36.95238095
2847,4/11/2018,1,4,2815,37.88214286
1570,2/1/2018,5,1,2822,38.89497717
2601,3/27/2018,1,2,2825,38.18560606
1005,12/12/2017,5,2,2837,38.77021277
1308,12/24/2017,7,4,2840,37.16239316
1047,12/14/2017,1,2,2842,37.45777778
1304,12/24/2017,2,1,2847,36.79310345
2677,3/30/2018,5,1,2848,37.37610619
415,1/3/2018,0,3,2860,34.66511628
3288,4/29/2018,4,2,2862,38.49266862
228,1/22/2018,0,2,2867,37.66847826
158,1/2/2018,0,4,2873,37.01731602
3238,4/27/2018,2,1,2890,36.63849765
186,1/20/2018,6,1,2901,37.9468599
3127,4/22/2018,6,4,2912,39.38515901
1519,12/8/2017,1,6,2919,37.81280788
738,11/24/2017,0,2,2926,36.28780488
2487,3/22/2018,1,1,2938,39.00711744
1728,2/16/2018,2,2,2947,38.63218391
8,1/1/2018,8,1,2955,38.6371308
4,1/1/2018,4,2,2957,36.85477178
2787,3/9/2018,5,1,2968,40.05857741
2510,3/23/2018,2,6,2971,39.41509434
72,1/12/2018,1,2,2976,32.82949309
1192,12/2/2017,6,5,2991,37.17333333
1685,2/14/2018,5,2,2992,40.08494208
3308,4/3/2018,1,2,3008,38.33584906
3397,4/6/2018,2,3,3033,38.83333333
350,1/27/2018,6,4,3037,37.94117647
2379,3/18/2018,6,5,3045,38.50393701
1361,12/3/2017,7,7,3062,37.99033816
3010,4/18/2018,5,3,3066,39.14778325
3374,4/5/2018,1,1,3069,38.24285714
347,1/27/2018,3,8,3079,37.1719457
2944,4/15/2018,6,2,3087,39.54609929
1953,2/26/2018,5,3,3100,39.59836066
1885,2/23/2018,5,1,3104,37.93675889
2215,3/11/2018,5,6,3107,39.66914498
3330,4/30/2018,1,3,3116,37.7385159
1595,2/10/2018,6,6,3121,37.16666667
2216,3/11/2018,6,1,3121,40.51111111
2444,3/20/2018,5,3,3131,39.36290323
3467,4/9/2018,5,1,3166,39.58273381
2581,3/26/2018,5,5,3167,39.45185185
2166,3/1/2018,1,2,3174,39.83082707
322,1/26/2018,1,2,3180,37.55299539
2012,2/3/2018,3,2,3180,36.92079208
1797,2/19/2018,5,2,3185,40.45833333
1071,12/15/2017,2,7,3194,37.48728814
439,1/30/2018,0,1,3198,36.92592593
2237,3/12/2018,3,3,3217,39.31835206
2559,3/25/2018,6,4,3218,38.86516854
2675,3/30/2018,2,6,3219,36.76956522
2261,3/13/2018,5,2,3241,37.83895131
3558,5/4/2018,2,4,3242,38.33333333
1124,12/17/2017,7,5,3246,36.52066116
1545,12/9/2017,3,4,3264,36.47881356
1099,12/16/2017,6,3,3272,37.65991903
1547,12/9/2017,6,2,3284,37.29957806
2605,3/27/2018,5,1,3301,38.43233083
762,11/25/2017,2,3,3303,39.01069519
1863,2/22/2018,5,1,3303,37.70037453
1332,12/29/2017,1,4,3304,36.97435897
1844,2/20/2018,5,2,3311,40.50561798
1403,12/31/2017,3,3,3314,36.29130435
3030,4/19/2018,1,1,3317,37.93214286
3534,5/3/2018,1,2,3318,38.40569395
561,1/7/2018,7,1,3320,37.9253112
1281,12/23/2017,2,2,3333,36.25490196
2464,3/21/2018,1,2,3338,39.42196532
1793,2/19/2018,1,1,3347,40.03921569
932,12/1/2017,1,3,3351,37.73755656
1257,12/22/2017,1,2,3356,38.76585366
2763,3/8/2018,5,2,3365,40.55932203
1446,12/5/2017,0,4,3375,39.1875
211,1/21/2018,7,2,3401,36.96116505
2039,2/4/2018,7,1,3406,37.61261261
2662,3/3/2018,3,1,3415,39.556
485,1/4/2018,0,1,3418,34.80660377
3075,4/20/2018,2,5,3426,37.7385159
2893,4/13/2018,2,1,3441,37.31914894
2400,3/19/2018,5,2,3445,39.548
391,1/29/2018,0,2,3448,36.75221239
790,11/26/2017,7,1,3461,36.70588235
1705,2/15/2018,1,7,3466,38.70149254
785,11/26/2017,2,4,3470,39.53551913
2239,3/12/2018,5,4,3471,39.47058824
1423,12/4/2017,0,1,3477,38.76585366
2056,2/5/2018,0,1,3478,37.7768595
3310,4/3/2018,5,2,3484,38.88518519
251,1/23/2018,0,1,3497,36.40686275
558,1/7/2018,3,1,3510,36.23394495
766,11/25/2017,7,5,3525,38.2628866
1096,12/16/2017,3,2,3577,37.90128755
2331,3/16/2018,5,3,3581,38.90747331
3237,4/27/2018,1,1,3590,36.85915493
2918,4/14/2018,3,4,3591,39.156
829,11/28/2017,0,4,3599,38.39915966
1303,12/24/2017,1,3,3611,37.07281553
2170,3/1/2018,5,2,3640,39.23106061
112,1/18/2018,0,2,3642,36.70222222
1750,2/17/2018,3,1,3647,39.58712121
2096,2/7/2018,0,1,3653,37.09292035
3422,4/7/2018,3,4,3657,38.23297491
1910,2/24/2018,6,4,3666,38.244
2783,3/9/2018,1,3,3673,39.08860759
374,1/28/2018,7,2,3701,37.28699552
2036,2/4/2018,3,3,3706,37.0531401
1285,12/23/2017,7,2,3739,36.98571429
3561,5/4/2018,5,4,3745,38.26056338
1907,2/24/2018,3,2,3756,38.40243902
414,1/29/2018,23,3,3771,37.41566265
3078,4/20/2018,5,3,3778,38.93971631
2967,4/16/2018,5,1,3784,38.70526316
462,1/31/2018,0,3,3786,37.41176471
207,1/21/2018,3,4,3796,37.85784314
3514,5/2/2018,5,5,3796,39.74285714
24,1/10/2018,0,2,3808,37.48953975
1636,2/12/2018,0,2,3808,36.36134454
2896,4/13/2018,5,1,3808,39.01824818
1407,12/31/2017,8,4,3810,36.42105263
3400,4/6/2018,5,2,3810,38.92280702
1494,12/7/2017,0,8,3825,36.39320388
978,12/11/2017,0,3,3831,37.21862348
1974,2/27/2018,5,3,3833,40.17110266
2284,3/14/2018,5,4,3835,38.59430605
2640,3/29/2018,5,3,3837,38.24210526
3103,4/21/2018,6,4,3844,37.99312715
2921,4/14/2018,6,4,3848,39.3307393
1619,2/11/2018,7,1,3851,37.16877637
275,1/24/2018,0,3,3853,37.10096154
2420,3/2/2018,1,1,3853,38.96226415
2236,3/12/2018,2,2,3858,38.30923695
2827,4/10/2018,5,1,3872,39.89169675
3376,4/5/2018,5,3,3872,39.86428571
961,12/10/2017,7,1,3884,36.05737705
3537,5/3/2018,5,3,3887,39.50352113
2739,3/7/2018,5,1,3890,39.74626866
3055,4/2/2018,5,2,3895,39.04225352
2307,3/15/2018,5,2,3909,39.51219512
2467,3/21/2018,5,2,3916,39.79285714
1070,12/15/2017,1,3,3917,37.19166667
2422,3/2/2018,5,2,3920,39.82022472
1994,2/28/2018,5,4,3930,40.34944238
1120,12/17/2017,3,4,3942,37.42918455
2850,4/11/2018,5,1,3946,38.75778547
3100,4/21/2018,3,5,3953,38.26978417
371,1/28/2018,3,6,3954,37.84018265
2872,4/12/2018,5,5,3957,39.21328671
2305,3/15/2018,3,4,3960,38.3465704
3032,4/19/2018,5,3,3988,39.44405594
3445,4/8/2018,3,1,3989,36.35925926
1001,12/12/2017,0,2,4003,37.16525424
1164,12/19/2017,0,8,4003,37.04897959
3263,4/28/2018,3,4,4041,37.88768116
1616,2/11/2018,3,3,4044,35.61111111
2674,3/30/2018,1,1,4049,35.99082569
299,1/25/2018,0,5,4053,36.7014218
2714,3/6/2018,0,2,4053,39.23828125
1189,12/2/2017,3,1,4059,38.34703196
1753,2/17/2018,6,2,4074,39.58801498
784,11/26/2017,1,6,4089,38.67724868
2354,3/17/2018,4,2,4092,38.22105263
2356,3/17/2018,6,5,4096,38.96193772
1141,12/18/2017,0,2,4109,37.24358974
3332,4/30/2018,5,1,4114,39.46428571
179,1/2/2018,23,1,4128,33.89140271
3557,5/4/2018,1,4,4137,38.11870504
3150,4/23/2018,5,5,4172,39.54035088
3173,4/24/2018,5,4,4183,39.48591549
509,1/5/2018,0,4,4185,35.47247706
882,11/30/2017,0,7,4191,36.77333333
2118,2/8/2018,0,2,4192,36.8442623
90,1/16/2018,22,1,4216,35.83486239
851,11/29/2017,0,5,4229,38.125
1210,12/20/2017,0,1,4229,37.46411483
3051,4/2/2018,0,1,4232,38.25886525
3354,4/4/2018,5,2,4238,38.5
600,1/9/2018,0,1,4242,37.04878049
2758,3/8/2018,0,5,4244,39.73529412
3266,4/28/2018,6,3,4263,38.73381295
1280,12/23/2017,1,3,4266,36.59708738
1931,2/25/2018,7,1,4269,39.20158103
2664,3/3/2018,6,3,4270,39.36015326
3491,5/1/2018,5,5,4271,39.76512456
2942,4/15/2018,3,3,4302,39.02745098
1565,2/1/2018,0,3,4309,37.43362832
2509,3/23/2018,1,2,4314,39.03703704
2986,4/17/2018,0,2,4321,37.85766423
737,11/23/2017,23,1,4326,36.77777778
3396,4/6/2018,1,3,4340,37.80985915
1727,2/16/2018,1,1,4359,39.02583026
